"ID_building","price_m2","easting","northing","ID_cadas_com","floors_total","floor_entrance","year_built","year_ren_roof","year_ren_face","constr_type","elevator","house_type","no_appart","trans_date","floor_appartment","postion_type","duplex","living_area","total_area","year_ren_wind","year_ren_inst","floor_above_ground","dist_airport","dist_public_transport","elevation","dist_schools","dist_highway_entr","dist_highway","dist_railway","dist_recreation","dist_main_roads","dist_regional_roads","dist_river","construct_age","roof_age","facade_age","inst_age","windows_age"
3286,2282,465130.92,100956.41,"1732",6,1,1975-10-13,1992-10-13,1975-10-13,"2","0","1",48,2008-03-27,2,"3","0",75.6,82.5,2006-10-13,1975-10-13,2,20649.697265625,360.555114746094,284,100,2059.1259765625,2012.46118164062,800,728.010986328125,400,2158.70336914062,360.555114746094,11854,5644,11854,11854,531
3287,1674,461152.54,102482.84,"1740",11,1,1963-10-13,2004-10-13,1963-10-13,"5","1","1",139,2012-07-12,7,"3","0",71.7,76.2,1990-10-13,1963-10-13,7,18172.78125,0,302,300,1749.28552246094,1655.29455566406,500,282.842712402344,0,3244.99609375,1403.56689453125,17805,2829,17805,17805,7943
3288,2654,462473.11,104596.32,"1736",6,1,1974-10-13,1974-10-13,1974-10-13,"2","0","4",15,2011-08-04,3,"3","0",35.8,42.2,2007-10-13,1974-10-13,3,16371.31640625,223.606796264648,303,300,223.606796264648,100,360.555114746094,1000,200,1334.16638183594,1029.56298828125,13444,13444,13444,13444,1391
3289,1289,462986,103760,"1736",11,1,1977-10-13,1977-10-13,1977-10-13,"2","0","1",27,2010-06-17,3,"3","0",73.7,79.5,1977-10-13,1977-10-13,3,17366.634765625,412.310577392578,301,100,854.400390625,700,1019.80389404297,1341.64074707031,400,1000,1392.8388671875,11935,11935,11935,11935,11935
3290,1125,466709.78,101113.1,"1772",6,1,1986-10-13,1986-10-13,1986-10-13,"2","0","1",28,2010-12-20,2,"3","0",72,83.6,1986-10-13,1986-10-13,2,21023.08203125,100,281,400,728.010986328125,608.276245117188,583.09521484375,1640.12194824219,200,1360.14709472656,300,8834,8834,8834,8834,8834
3291,3977,463429.78,105961.8,"1735",7,1,2009-10-13,2009-10-13,2009-10-13,"2","1","1",20,2010-06-28,2,"3","0",35.2,49.1,2009-10-13,2009-10-13,2,15368.7998046875,412.310577392578,285,400,1565.24755859375,1431.78210449219,412.310577392578,282.842712402344,400,1044.03063964844,100,258,258,258,258,258
3292,2053,463582.77,105993.3,"1735",8,1,1986-10-13,1986-10-13,1986-10-13,"2","1","1",28,2012-08-20,1,"3","0",75.5,77.7,1986-10-13,1986-10-13,1,15337.861328125,223.606796264648,288,200,1749.28552246094,1581.13879394531,400,412.310577392578,400,894.427185058594,300,9443,9443,9443,9443,9443
3293,2637,460211,103901,"1738",11,2,1969-10-13,1969-10-13,1969-10-13,"2","1","3",72,2012-11-19,2,"3","0",25.6,27.9,1969-10-13,1969-10-13,2,16676.9296875,200,307,300,100,0,447.213592529297,1360.14709472656,0,2884.44091796875,1216.55249023438,15743,15743,15743,15743,15743
3294,2018,460997.37,102732.76,"1739",25,3,1966-10-13,1966-10-13,1966-10-13,"5","1","1",134,2009-12-03,18,"3","0",22.3,24.9,1966-10-13,1966-10-13,18,17961.068359375,141.421356201172,302,100,1526.43371582031,1431.78210449219,500,412.310577392578,0,3224.90307617188,1600,15757,15757,15757,15757,15757
3295,2050,462551.8,101448.14,"1737",5,1,1929-10-13,1929-10-13,1929-10-13,"5","0","1",5,2009-11-30,2,"3","0",100,101.7,2010-10-13,2010-10-13,2,19494.1015625,200,296,100,3087.06982421875,2954.6572265625,300,824.621154785156,200,3130.4951171875,400,29268,29268,29268,29268,29268
3296,2354,459184.47,100158.17,"1723",5,1,1988-10-13,2005-10-13,1988-10-13,"2","0","3",20,2012-12-10,2,"3","0",61.8,69.1,1988-10-13,1988-10-13,2,20408.822265625,300,312,400,1019.80389404297,824.621154785156,412.310577392578,1000,538.516479492188,824.621154785156,200,8824,2615,8824,8824,8824
3297,2107,462094,102074,"2636",8,1,1961-10-13,1961-10-13,1961-10-13,"8","1","1",76,2011-08-10,3,"3","0",78.3,93.8,1961-10-13,1961-10-13,3,18729.921875,141.421356201172,299,400,2473.86328125,2400,360.555114746094,984.885803222656,141.421356201172,2765.86328125,1140.17541503906,18198,18198,18198,18198,18198
3298,1788,463651.71,101618.49,"1726",13,2,1964-10-13,2009-10-13,1964-10-13,"2","1","1",50,2010-03-26,2,"3","0",67.1,71.8,1997-10-13,1997-10-13,2,19550.19140625,360.555114746094,289,100,2441.31103515625,2325.94067382812,100,948.683288574219,282.842712402344,2441.31103515625,447.213592529297,16600,164,16600,4547,4547
